city,state_id,lat,lng
Frederick,MD,39.4337,-77.4141
Murfreesboro,TN,35.849,-86.4121
Fort Lauderdale,FL,26.1412,-80.1464
Aurora,IL,41.7638,-88.2902
Tempe,AZ,33.3881,-111.9319
Danbury,CT,41.4015,-73.4709
Spring Hill,FL,28.4798,-82.53
Gastonia,NC,35.2494,-81.1854
Salinas,CA,36.6883,-121.6317
Fredericksburg,VA,38.2992,-77.4872
Ontario,CA,34.0393,-117.6064
Elk Grove,CA,38.4161,-121.3842
Gainesville,GA,34.2902,-83.8294
Cary,NC,35.7819,-78.8195
Rancho Cucamonga,CA,34.1247,-117.5667
Oceanside,CA,33.2247,-117.3083
Garden Grove,CA,33.7787,-117.9601
Lancaster,CA,34.6935,-118.1753
Hemet,CA,33.7341,-116.9969
Pembroke Pines,FL,26.0128,-80.3382
Panama City,FL,30.1995,-85.6003
Vallejo,CA,38.1125,-122.2342
Manchester,NH,42.9848,-71.4447
Medford,OR,42.3372,-122.854
Bayam�n,PR,18.3794,-66.1635
Mauldin,SC,34.7821,-82.3032
Santa Cruz,CA,36.9789,-122.0346
Palmdale,CA,34.5944,-118.1057
Norwich,CT,41.5495,-72.0882
Muskegon,MI,43.2281,-86.2562
Leesburg,FL,28.7672,-81.8962
High Point,NC,35.991,-79.9937
Tuscaloosa,AL,33.2348,-87.5268
Visalia,CA,36.3276,-119.3269
Marysville,WA,48.0809,-122.1561
Merced,CA,37.3057,-120.4779
Hayward,CA,37.6328,-122.0766
Lafayette,IN,40.3991,-86.8593
Springfield,IL,39.7709,-89.654
Corona,CA,33.8616,-117.5649
Paterson,NJ,40.9147,-74.1624
Alexandria,VA,38.8185,-77.0861
Macon,GA,32.8065,-83.6974
Binghamton,NY,42.1014,-75.9093
Lakewood,CO,39.6977,-105.1172
Kansas City,KS,39.1235,-94.7443
Odessa,TX,31.8801,-102.3448
Sunnyvale,CA,37.3836,-122.0255
New Bedford,MA,41.6697,-70.9428
Hollywood,FL,26.0293,-80.1679
South Lyon,MI,42.4614,-83.6526
Escondido,CA,33.1348,-117.0723
Lake Charles,LA,30.201,-93.2111
Pasadena,TX,29.6575,-95.1498
Bellevue,WA,47.5951,-122.1535
Joliet,IL,41.5188,-88.1499
Champaign,IL,40.1142,-88.2737
Pomona,CA,34.0585,-117.7626
Fairfield,CA,38.2583,-122.0335
Mesquite,TX,32.7602,-96.5865
Elkhart,IN,41.6916,-85.9627
Naperville,IL,41.748,-88.1659
St. George,UT,37.0758,-113.5752
Roseville,CA,38.7703,-121.3196
Topeka,KS,39.0346,-95.6955
Burlington,NC,36.076,-79.4685
Warner Robins,GA,32.5961,-83.6527
Surprise,AZ,33.6815,-112.4515
Torrance,CA,33.8346,-118.3416
Santa Maria,CA,34.9333,-120.4431
Athens,GA,33.9508,-83.3689
Houma,LA,29.58,-90.7059
Columbia,MO,38.9472,-92.3268
Fullerton,CA,33.8841,-117.9279
Olathe,KS,38.8833,-94.82
Thornton,CO,39.9197,-104.9438
Greeley,CO,40.4152,-104.7706
Beaumont,TX,30.0849,-94.1451
Las Cruces,NM,32.3265,-106.7893
Midland,TX,32.0243,-102.1147
Metairie,LA,29.9977,-90.178
Carolina,PR,18.4054,-65.9792
West Valley City,UT,40.6886,-112.0123
Orange,CA,33.8038,-117.8218
Warren,MI,42.4934,-83.027
Grand Junction,CO,39.0877,-108.5673
Tyler,TX,32.3184,-95.3062
Pasadena,CA,34.1597,-118.139
Hampton,VA,37.0551,-76.363
Bloomington,IL,40.4757,-88.9703
Elizabeth,NJ,40.6658,-74.1913
Stamford,CT,41.1039,-73.5585
Yuma,AZ,32.5995,-114.5491
Kent,WA,47.3887,-122.2128
Miramar,FL,25.9773,-80.3351
Coeur d'Alene,ID,47.704,-116.7936
Coral Springs,FL,26.2702,-80.2591
Sterling Heights,MI,42.5809,-83.0305
Yuba City,CA,39.1357,-121.6383
Yakima,WA,46.5923,-120.5496
Carrollton,TX,32.989,-96.8999
Racine,WI,42.7274,-87.8135
Johnson City,TN,36.3406,-82.3806
Billings,MT,45.7891,-108.5526
Iowa City,IA,41.6559,-91.5303
Dover,DE,39.161,-75.5202
Bellingham,WA,48.7548,-122.469
Charleston,WV,38.3484,-81.6322
Lynchburg,VA,37.4003,-79.1909
Santa Clara,CA,37.3646,-121.968
Norman,OK,35.2335,-97.3471
Greenville,NC,35.5943,-77.376
Simi Valley,CA,34.2663,-118.749
Fort Smith,AR,35.3495,-94.3695
Abilene,TX,32.4543,-99.7384
Arecibo,PR,18.4491,-66.7387
Lewisville,TX,33.0454,-96.9815
Pearland,TX,29.5581,-95.3218
Lehigh Acres,FL,26.612,-81.6388
Kenosha,WI,42.5865,-87.8773
Seaside,CA,36.6224,-121.8199
Burlington,VT,44.4876,-73.2316
Arvada,CO,39.832,-105.151
Waldorf,MD,38.6085,-76.9194
Independence,MO,39.0871,-94.3501
Rochester,MN,44.0154,-92.478
Logan,UT,41.7399,-111.8422
Harlingen,TX,26.1916,-97.6977
Berkeley,CA,37.8722,-122.276
Clovis,CA,36.8278,-119.683
Round Rock,TX,30.527,-97.6642
Pueblo,CO,38.2701,-104.6114
Temple,TX,31.1068,-97.3891
Meridian,ID,43.6116,-116.3977
Duluth,MN,46.7756,-92.1393
The Woodlands,TX,30.1738,-95.5134
Boulder,CO,40.0248,-105.2524
Richardson,TX,32.9716,-96.7093
Cambridge,MA,42.3759,-71.1185
West Palm Beach,FL,26.7469,-80.132
Port Arthur,TX,29.8554,-93.9264
East Los Angeles,CA,34.0326,-118.1691
Redding,CA,40.5698,-122.365
Clearwater,FL,27.979,-82.7623
Monroe,LA,32.5185,-92.0774
Utica,NY,43.0962,-75.2261
St. Cloud,MN,45.534,-94.1718
Mandeville,LA,30.3751,-90.0904
West Jordan,UT,40.6024,-112.0008
North Charleston,SC,32.9067,-80.0722
Richmond,CA,37.9477,-122.3389
Westminster,CO,39.8837,-105.0624
Saginaw,MI,43.4199,-83.9501
Kailua,HI,21.392,-157.7396
Brandon,FL,27.9367,-82.3
Ponce,PR,18.0127,-66.6212
Carlsbad,CA,33.1246,-117.2834
Lowell,MA,42.6389,-71.3217
Broken Arrow,OK,36.038,-95.7806
Elgin,IL,42.0383,-88.324
Gresham,OR,45.5021,-122.4413
League City,TX,29.4874,-95.1087
Downey,CA,33.9379,-118.1311
Waterloo,IA,42.4918,-92.3522
Murrieta,CA,33.5719,-117.1909
Leominster,MA,42.5209,-71.7717
Longview,TX,32.5193,-94.7622
Jacksonville,NC,34.7289,-77.3941
Pompano Beach,FL,26.2428,-80.1312
Bend,OR,44.0563,-121.3095
Miami Gardens,FL,25.9433,-80.2426
Costa Mesa,CA,33.6667,-117.9135
Sioux City,IA,42.4959,-96.3901
Everett,WA,47.9525,-122.1669
Gilroy,CA,37.0046,-121.5854
San Buenaventura,CA,34.2741,-119.2314
Temecula,CA,33.4928,-117.1315
Sugar Land,TX,29.5935,-95.6358
Chico,CA,39.7578,-121.8161
Eau Claire,WI,44.8197,-91.4948
El Monte,CA,34.0739,-118.0291
Idaho Falls,ID,43.4871,-112.0362
Dearborn,MI,42.3127,-83.213
Bloomington,IN,39.1637,-86.5257
West Covina,CA,34.0555,-117.9113
Sparks,NV,39.5736,-119.7161
South Fulton,GA,33.6273,-84.58
Centennial,CO,39.5926,-104.8673
Sandy Springs,GA,33.9366,-84.3703
Inglewood,CA,33.9566,-118.3444
Hillsboro,OR,45.5273,-122.936
Columbia,MD,39.2004,-76.859
Burbank,CA,34.1879,-118.3235
Davie,FL,26.0789,-80.287
El Cajon,CA,32.8017,-116.9604
Jurupa Valley,CA,34.001,-117.4706
Allen,TX,33.1088,-96.6735
Auburn,AL,32.6087,-85.4903
Renton,WA,47.4784,-122.1918
Holland,MI,42.7677,-86.0984
Brockton,MA,42.0821,-71.0242
Rio Rancho,NM,35.2873,-106.6982
San Mateo,CA,37.5522,-122.3121
Rialto,CA,34.1175,-117.3892
Spokane Valley,WA,47.6626,-117.2346
Charlottesville,VA,38.0375,-78.4855
Menifee,CA,33.6909,-117.1849
Daly City,CA,37.6862,-122.4685
Wichita Falls,TX,33.9072,-98.5291
Riverview,FL,27.8227,-82.3023
Norwalk,CA,33.9069,-118.0829
Lee's Summit,MO,38.9171,-94.3816
Longmont,CO,40.1686,-105.1005
Vacaville,CA,38.3587,-121.9673
Highlands Ranch,CO,39.5419,-104.9708
Kingsport,TN,36.5224,-82.5454
San Tan Valley,AZ,33.1786,-111.5629
Quincy,MA,42.2506,-71.0187
Edinburg,TX,26.3196,-98.1597
Lynn,MA,42.4781,-70.9664
San Angelo,TX,31.4424,-100.4504
Hesperia,CA,34.3975,-117.3147
Bowling Green,KY,36.9716,-86.4378
Federal Way,WA,47.3091,-122.3358
Carmel,IN,39.965,-86.146
Bismarck,ND,46.8143,-100.7694
Fishers,IN,39.9588,-85.9659
Lafayette,CO,39.9946,-105.0998
Vista,CA,33.1896,-117.2386
Boca Raton,FL,26.3752,-80.108
St. Augustine,FL,29.8976,-81.31
Beaverton,OR,45.4779,-122.8168
Goodyear,AZ,33.2614,-112.3622
Portsmouth,VA,36.8468,-76.354
Orem,UT,40.2981,-111.6994
Sunrise,FL,26.1547,-80.2997
Portsmouth,NH,43.058,-70.7826
Arden-Arcade,CA,38.6017,-121.3845
Lawrence,KS,38.9597,-95.2642
Sandy,UT,40.5709,-111.8506
Slidell,LA,30.2887,-89.7828
Buckeye,AZ,33.4314,-112.6429
Livonia,MI,42.3972,-83.3733
Williamsburg,VA,37.2693,-76.7076
Suffolk,VA,36.6953,-76.6398
Compton,CA,33.893,-118.2274
La Crosse,WI,43.8241,-91.2268
Edmond,OK,35.6689,-97.416
Carson,CA,33.8374,-118.2559
San Marcos,CA,33.135,-117.1743
Tracy,CA,37.7269,-121.4523
Prescott Valley,AZ,34.598,-112.3185
Middletown,OH,39.5033,-84.3659
Fall River,MA,41.7136,-71.1015
San Germ�n,PR,18.0827,-67.046
Santa Fe,NM,35.6619,-105.9819
Plantation,FL,26.1259,-80.2617
Mayag�ez,PR,18.2003,-67.1397
New Braunfels,TX,29.6994,-98.1148
Roswell,GA,34.0391,-84.3513
Conroe,TX,30.3238,-95.4824
South Gate,CA,33.9447,-118.1926
Santa Monica,CA,34.0235,-118.481
Kirkland,WA,47.697,-122.2057
Hoover,AL,33.3763,-86.8068
O'Fallon,MO,38.785,-90.7175
Alafaya,FL,28.528,-81.1868
Palm Coast,FL,29.5389,-81.2457
Norwalk,CT,41.1144,-73.4215
Lawton,OK,34.6175,-98.4202
Chino,CA,33.9836,-117.6654
Mount Pleasant,SC,32.8537,-79.8203
Manteca,CA,37.7927,-121.2264
Westminster,CA,33.7523,-117.9938
Florence,SC,34.178,-79.7898
Joplin,MO,37.0757,-94.5018
Germantown,MD,39.1755,-77.2643
San Leandro,CA,37.7074,-122.1599
Town 'n' Country,FL,28.0106,-82.5763
Clifton,NJ,40.863,-74.1575
Waukegan,IL,42.3698,-87.8716
Bloomington,MN,44.8306,-93.3151
Avondale,AZ,33.3873,-112.3235
Atascocita,TX,29.9777,-95.1953
Missoula,MT,46.8751,-114.0214
Fort Myers,FL,26.6194,-81.8302
Newton,MA,42.3316,-71.2085
Lawrence,MA,42.7002,-71.1626
Muncie,IN,40.1989,-85.395
Rapid City,SD,44.0716,-103.2204
Troy,MI,42.5817,-83.1457
Livermore,CA,37.6868,-121.7607
Citrus Heights,CA,38.6948,-121.288
Hawthorne,CA,33.9147,-118.3476
Winchester,VA,39.1735,-78.1746
Springdale,AR,36.1901,-94.1574
Whittier,CA,33.9678,-118.0188
Deerfield Beach,FL,26.305,-80.1277
Decatur,IL,39.8557,-88.9342
San Ramon,CA,37.7624,-121.9365
Vineland,NJ,39.4653,-74.9981
Mission,TX,26.2039,-98.3256
Auburn,WA,47.3039,-122.2108
Lake Forest,CA,33.6605,-117.6714
Newport Beach,CA,33.6151,-117.8668
Melbourne,FL,28.1086,-80.6627
Brooklyn Park,MN,45.1112,-93.3505
Bryan,TX,30.665,-96.3807
Westland,MI,42.3192,-83.3805
Napa,CA,38.2975,-122.301
Baytown,TX,29.7587,-94.9671
Cicero,IL,41.8445,-87.7593
Anderson,IN,40.0891,-85.6892
Franklin,TN,35.92,-86.8516
Farmington Hills,MI,42.486,-83.3771
Buena Park,CA,33.8572,-118.0046
Albany,GA,31.5776,-84.1762
Pine Hills,FL,28.5818,-81.4692
State College,PA,40.7909,-77.8567
Redwood City,CA,37.5025,-122.2253
Warwick,RI,41.7062,-71.4334
Jackson,MI,42.2431,-84.4038
Cranston,RI,41.7658,-71.4858
Largo,FL,27.9088,-82.7712
Miami Beach,FL,25.8171,-80.1396
Alhambra,CA,34.084,-118.1355
Johns Creek,GA,34.0333,-84.2027
Mountain View,CA,37.4001,-122.0796
Salisbury,MD,38.3756,-75.5865
Morgantown,WV,39.6383,-79.9464
Silver Spring,MD,39.0028,-77.0207
Layton,UT,41.077,-111.962
Springfield,OH,39.93,-83.7959
Lakewood,CA,33.8471,-118.1222
Florence,AL,34.8303,-87.6655
Folsom,CA,38.6668,-121.1422
Madera,CA,36.963,-120.0778
New Rochelle,NY,40.9304,-73.7836
Parma,OH,41.3843,-81.7286
Terre Haute,IN,39.466,-87.3751
Somerville,MA,42.3908,-71.1014
Flagstaff,AZ,35.1872,-111.6194
Boynton Beach,FL,26.5281,-80.0811
Homestead,FL,25.4665,-80.4472
Newark,OH,40.0706,-82.425
Plymouth,MN,45.0225,-93.4617
Anniston,AL,33.6712,-85.8135
Texarkana,TX,33.45,-94.0847
Tustin,CA,33.7311,-117.8107
Pharr,TX,26.1685,-98.1904
Port Huron,MI,42.9821,-82.4388
Turlock,CA,37.5053,-120.8588
Rancho Cordova,CA,38.5737,-121.2527
The Villages,FL,28.9034,-81.9887
Milpitas,CA,37.4336,-121.8921
Perris,CA,33.7898,-117.2233
Upland,CA,34.1178,-117.6604
Alton,IL,38.9037,-90.152
Pleasanton,CA,37.6663,-121.8805
Kendall,FL,25.6697,-80.3556
Jonesboro,AR,35.8212,-90.6791
Bellflower,CA,33.888,-118.1271
Battle Creek,MI,42.2985,-85.2296
Chino Hills,CA,33.9508,-117.7254
Cheyenne,WY,41.135,-104.7902
Lebanon,PA,40.3412,-76.4228
Carmichael,CA,38.6318,-121.3263
South Jordan,UT,40.557,-111.9784
Davis,CA,38.5553,-121.737
Elizabethtown,KY,37.7031,-85.8773
Schaumburg,IL,42.0308,-88.0838
Alameda,CA,37.7668,-122.267
Hammond,IN,41.6168,-87.4909
Pasco,WA,46.2506,-119.1305
Evanston,IL,42.0464,-87.6943
Lehi,UT,40.4136,-111.8725
Alexandria,LA,31.2923,-92.4702
North Port,FL,27.0576,-82.1977
Arlington Heights,IL,42.0955,-87.9826
Camarillo,CA,34.223,-119.0321
Wyoming,MI,42.8908,-85.7066
Flower Mound,TX,33.0343,-97.1146
Bethlehem,PA,40.6266,-75.3679
Hattiesburg,MS,31.3074,-89.317
Loveland,CO,40.4166,-105.0623
Pittsburg,CA,38.0182,-121.8965
Cedar Park,TX,30.5105,-97.8197
Wenatchee,WA,47.436,-120.3295
Southfield,MI,42.4765,-83.2605
Rochester Hills,MI,42.6645,-83.1563
Hammond,LA,30.5061,-90.4563
Valdosta,GA,30.8502,-83.2788
Owensboro,KY,37.7575,-87.1172
Apple Valley,CA,34.5352,-117.2109
Woodbury,MN,44.9057,-92.923
Pawtucket,RI,41.8744,-71.3743
St. Joseph,MO,39.7598,-94.821
Doral,FL,25.8152,-80.3565
Dover,NH,43.1887,-70.8845
Missouri City,TX,29.563,-95.5365
Saratoga Springs,NY,43.0674,-73.7775
Pocatello,ID,42.8724,-112.4647
Oshkosh,WI,44.0227,-88.5619
New Britain,CT,41.6759,-72.7862
Castle Rock,CO,39.3763,-104.8535
Lauderhill,FL,26.1605,-80.2241
Broomfield,CO,39.9542,-105.0526
Dale City,VA,38.6473,-77.3459
Bolingbrook,IL,41.6901,-88.1021
Redmond,WA,47.6763,-122.1169
Caguas,PR,18.2319,-66.0388
Mansfield,TX,32.569,-97.1213
Ellicott City,MD,39.2774,-76.8345
Sheboygan,WI,43.7403,-87.7316
Mansfield,OH,40.7656,-82.5275
Glens Falls,NY,43.3109,-73.6458
Daytona Beach,FL,29.1995,-81.0982
Lodi,CA,38.1218,-121.2932
Redlands,CA,34.0512,-117.1712
Harrisonburg,VA,38.4362,-78.8735
Dothan,AL,31.2336,-85.407
Cleveland,TN,35.1817,-84.8707
Jackson,TN,35.6538,-88.8354
Mount Vernon,NY,40.9136,-73.8291
Centreville,VA,38.839,-77.4389
Altoona,PA,40.5082,-78.4007
Framingham,MA,42.3085,-71.4368
Camden,NJ,39.9361,-75.1073
Georgetown,TX,30.666,-97.6966
Baldwin Park,CA,34.0829,-117.9722
Rocklin,CA,38.8075,-121.2489
Porterville,CA,36.0643,-119.0338
Tamarac,FL,26.2056,-80.2539
Glen Burnie,MD,39.156,-76.6071
Blacksburg,VA,37.23,-80.4279
Wausau,WI,44.962,-89.6459
Sumter,SC,33.9392,-80.393
Janesville,WI,42.6854,-89.0135
Brunswick,GA,31.1449,-81.4746
Dublin,CA,37.7161,-121.8963
Wilmington,DE,39.7415,-75.5416
Waukesha,WI,43.0087,-88.2464
Fairbanks,AK,64.8353,-147.6533
Lakeville,MN,44.6774,-93.252
St. Charles,MO,38.7954,-90.5157
Redondo Beach,CA,33.8577,-118.3765
Spring Hill,TN,35.7437,-86.9116
Bayonne,NJ,40.6668,-74.1158
Grand Forks,ND,47.9214,-97.0884
Noblesville,IN,40.0355,-86.0042
Guaynabo,PR,18.3832,-66.1134
El Paso de Robles,CA,35.6394,-120.656
North Richland Hills,TX,32.8604,-97.218
Maple Grove,MN,45.1089,-93.4626
Passaic,NJ,40.8574,-74.1282
Blaine,MN,45.1696,-93.2077
Lake Elsinore,CA,33.6847,-117.3344
Rogers,AR,36.317,-94.1531
Casas Adobes,AZ,32.3423,-111.0113
Sherman,TX,33.6273,-96.6221
Walnut Creek,CA,37.9024,-122.0399
Conway,AR,35.0753,-92.4692
Eastvale,CA,33.9617,-117.5803
Union City,CA,37.6032,-122.0181
Michigan City,IN,41.7092,-86.869
Poinciana,FL,28.1217,-81.4821
Tulare,CA,36.1995,-119.34
Gary,IN,41.5905,-87.3473
Gaithersburg,MD,39.1346,-77.2131
East Orange,NJ,40.7651,-74.2117
